Passage Title,Question ID,Sentence Context,Option A,Option B,Option C,Option D,Option E,Correct Answer
The Theme Park,5,The ride went up (5).,steep,steepen,steeps,steepness,steeply,E
The Theme Park,6,Then it dropped down (6).,fast,faster,fastest,fastness,fasts,A
The Theme Park,7,Everyone (7).,scream,screaming,screams,screamer,screamed,E
The Theme Park,8,My stomach felt (8).,weirdly,weirdness,weirds,wired,weird,E
The Theme Park,9,We went on the log (9).,flumes,fume,flume,flumed,fluming,C
The Theme Park,10,We got completely (10).,soak,soaking,soaks,soaker,soaked,E
The Theme Park,11,I ate some candy (11).,flossed,flossing,floss,flosses,gloss,C
The Theme Park,12,I felt a bit (12).,sickness,sickly,sickened,sick,sickening,D
The Forest Fire,1,The summer had been hot and (1).,dried,drying,dries,drier,dry,E
The Forest Fire,2,A camper left a (2) burning.,fired,firing,fire,fires,fiery,C
The Forest Fire,3,The wind blew the (3).,flame,flamed,flaming,frame,flames,E
The Forest Fire,4,Soon the trees were (4).,blaze,blazing,blazed,blazer,ablaze,E
The Forest Fire,5,Smoke filled the (5).,airy,aired,airing,heir,air,E
The Forest Fire,6,Animals ran for (6).,safe,safely,safest,safer,safety,E
The Forest Fire,7,Firefighters arrived in (7).,truck,trucking,trucked,track,trucks,E
The Forest Fire,8,They sprayed water from (8).,hoses,hosed,hosing,hoes,hose,A
The Forest Fire,9,Planes dropped water from (9).,over,up,upper,ups,above,E
The Forest Fire,10,It took days to (10).,extinguish,extinguished,extinguishing,extinguishes,extinguisher,A
The Forest Fire,11,The forest was black and (11).,char,charring,chars,charcoal,charred,E
The Forest Fire,12,Nature will eventually (12).,recovered,recovering,recover,recovers,recovery,C
The Wedding,1,The bride wore a white (1).,dressed,dressing,dresses,dresser,dress,E
The Wedding,2,She held a bouquet of (2).,flower,flowered,flowering,flowery,flowers,E
The Wedding,3,The groom looked (3).,nerve,nervously,nervousness,nerves,nervous,E
The Wedding,4,They exchanged gold (4).,ring,ringed,ringing,wring,rings,E
The Wedding,5,They promised to love each (5).,others,otherwise,another,mother,other,E
The Wedding,6,Guests threw (6).,confettis,confided,fetti,candy,confetti,E
The Wedding,7,We went to the (7).,receive,received,receiving,receipt,reception,E
The Wedding,8,There was a three-tiered (8).,cakes,caked,caking,caker,cake,E
The Wedding,9,My dad made a (9).,speak,spoke,speaking,speaker,speech,E
The Wedding,10,Everyone raised their (10).,glass,glassy,glaze,glazer,glasses,E
The Wedding,11,The couple danced on the (11).,floors,floored,flooring,flaw,floor,E
The Wedding,12,It was a romantic (12).,days,daily,daytime,daze,day,E
The Spy Mission,1,The spy wore a black (1).,coats,coated,coating,cot,coat,E
The Spy Mission,2,He carried a secret (2).,files,filed,filing,filer,file,E
The Spy Mission,3,He met his contact in the (3).,parks,parked,parking,parker,park,E
The Spy Mission,4,They spoke in (4).,coded,coding,codes,coder,code,E
The Spy Mission,5,He had to be very (5).,care,carefully,cared,caring,careful,E
The Spy Mission,6,The enemy was (6).,watch,watched,watches,watcher,watching,E
The Spy Mission,7,He used a hidden (7).,cameras,cam,cameraman,came,camera,E
The Spy Mission,8,He escaped in a fast (8).,cars,cart,card,care,car,E
The Spy Mission,9,He drove at high (9).,sped,speeding,speeds,speeder,speed,E
The Spy Mission,10,He completed his (10).,missions,missionary,miss,missing,mission,E
The Spy Mission,11,The government was (11).,grate,gratefully,gratitude,great,grateful,E
The Spy Mission,12,He disappeared into the (12).,shadows,shadowed,shadowing,shadiness,shadow,E
The Marathon,1,Thousands of runners stood at the (1).,started,starting,starts,starter,start,E
The Marathon,2,They were ready to (2).,ran,running,runs,runner,run,E
The Marathon,3,The course was 26 (3).,mile,miled,miler,mill,miles,E
The Marathon,4,Crowds lined the (4).,streets,streeted,streeting,treat,street,E
The Marathon,5,They cheered the runners (5).,in,up,at,by,on,E
The Marathon,6,I felt tired after ten (6).,mile,miled,miler,mill,miles,E
The Marathon,7,I grabbed a bottle of (7).,watered,watering,waters,watery,water,E
The Marathon,8,My legs began to (8).,ached,aching,aches,achy,ache,E
The Marathon,9,I was determined to (9).,finished,finishing,finishes,finisher,finish,E
The Marathon,10,I saw the finish (10).,lines,lined,lining,liner,line,E
The Marathon,11,I received a gold (11).,medals,medaled,medaling,meddle,medal,E
The Marathon,12,I was proud of my (12).,achieve,achieved,achieving,achiever,achievement,E
The Pirate Ship,1,The captain stood on the (1).,decks,decked,decking,dock,deck,E
The Pirate Ship,2,He looked through his (2).,telescopes,telescopic,scope,scoped,telescope,E
The Pirate Ship,3,He saw an island in the (3).,distant,distantly,distances,distanced,distance,E
The Pirate Ship,4,"""Land ahoy!"" he (4).",shout,shouting,shouts,shouter,shouted,E
The Pirate Ship,5,They dropped the (5).,anchors,anchored,anchoring,anker,anchor,E
The Pirate Ship,6,They rowed ashore in a (6).,boats,boating,boated,boot,boat,E
The Pirate Ship,7,They had a map marked with an (7).,ex,axe,eggs,hex,X,E
The Pirate Ship,8,They dug in the (8).,sands,sandy,sanded,sander,sand,E
The Pirate Ship,9,They found a wooden (9).,chests,chested,chesting,chester,chest,E
The Pirate Ship,10,Inside was gold and (10).,jewel,jeweled,jewelry,jeweler,jewels,E
The Pirate Ship,11,They were rich beyond (11).,believe,believed,believing,beliefs,belief,E
The Pirate Ship,12,They sailed away (12).,happy,happiness,happier,happiest,happily,E
The Ballet,1,The dancer tied her satin (1).,shoes,shoed,shoeing,shoo,shoe,E
The Ballet,2,She wore a pink (2).,tutus,two,too,to,tutu,E
The Ballet,3,She practiced at the (3).,bar,barred,barring,barrier,barre,E
The Ballet,4,She moved with great (4).,graceful,gracefully,graced,gracing,grace,E
The Ballet,5,The music was soft and (5).,beauty,beautifully,beautify,beauties,beautiful,E
The Ballet,6,She leapt into the (6).,airy,aired,airing,heir,air,E
The Ballet,7,She spun round on one (7).,toes,toed,towing,tow,toe,E
The Ballet,8,The audience watched in (8).,silent,silently,silencer,silenced,silence,E
The Ballet,9,The male dancer lifted (9).,she,hers,herself,him,her,E
The Ballet,10,It looked (10).,effort,effortlessly,efforts,effect,effortless,E
The Ballet,11,She curtseyed at the (11).,ended,ending,ends,endless,end,E
The Ballet,12,She received a standing (12).,ovations,ovated,ovating,over,ovation,E
The Construction Site,1,The builders wore hard (1).,hats,hatted,hatting,hate,hats,A
The Construction Site,2,There was a tall yellow (2).,crane,cranes,craned,craning,crain,A
The Construction Site,3,It lifted heavy (3).,beam,beams,beamed,beaming,bean,B
The Construction Site,4,They dug a deep (4).,found,founded,founding,founder,foundation,E
The Construction Site,5,They poured concrete into the (5).,hole,holes,holed,holing,whole,A
The Construction Site,6,They built a brick (6).,walls,walled,walling,well,wall,E
The Construction Site,7,The noise was (7).,deaf,deafened,deafness,deafen,deafening,E
The Construction Site,8,Dust filled the (8).,airy,aired,airing,heir,air,E
The Construction Site,9,The building grew (9).,high,highest,highly,height,higher,E
The Construction Site,10,It would be an office (10).,blocks,blocked,blocking,blocker,block,E
The Construction Site,11,Work stopped at five (11).,clock,clocks,clocking,clocked,o'clock,E
The Construction Site,12,Safety is very (12).,import,importance,importantly,imported,important,E
The Jungle,1,The jungle was hot and (1).,humidity,humidly,humour,human,humid,E
The Jungle,2,Tall trees blocked out the (2).,suns,sunny,sunned,son,sun,E
The Jungle,3,We hacked through the (3).,vine,vined,vining,wine,vines,E
The Jungle,4,Monkeys chattered in the (4).,branch,branched,branching,branchlet,branches,E
The Jungle,5,A colourful parrot flew (5).,pass,passed,passing,paste,past,E
The Jungle,6,We saw a tiger's (6).,track,tracked,tracking,tracker,tracks,E
The Jungle,7,We walked very (7).,quiet,quietness,quieten,quite,quietly,E
The Jungle,8,Insects buzzed around our (8).,head,headed,heading,header,heads,E
The Jungle,9,We crossed a flowing (9).,river,rivers,rivered,rive,river,A
The Jungle,10,Be careful of the (10).,crocodiles,crocodilian,croc,crock,crocodile,E
The Jungle,11,It was a wild (11).,places,placed,placing,placer,place,E
The Jungle,12,We felt like true (12).,explore,explored,exploring,exploration,explorers,E
The Ice Cream Van,1,We heard the familiar (1).,music,musical,musically,musician,muse,A
The Ice Cream Van,2,The ice cream van was (2).,come,came,comes,comer,coming,E
The Ice Cream Van,3,Children ran from every (3).,house,houses,housed,housing,household,A
The Ice Cream Van,4,I asked for a vanilla (4).,cone,cones,coned,coning,coner,A
The Ice Cream Van,5,He put a flake in the (5).,top,topped,topping,tops,topper,A
The Ice Cream Van,6,My brother had a strawberry (6).,lolly,lollies,lollipop,loll,lull,A
The Ice Cream Van,7,It was freezing (7).,coldly,coldness,colder,coldest,cold,E
The Ice Cream Van,8,It started to melt in the (8).,sun,sunny,sunned,sunning,son,A
The Ice Cream Van,9,Sticky juice ran down my (9).,hand,hands,handed,handing,handy,A
The Ice Cream Van,10,It tasted sweet and (10).,cream,creaminess,creamed,creamer,creamy,E
The Ice Cream Van,11,It is the best summer (11).,treats,treated,treating,treatment,treat,E
The Ice Cream Van,12,I wished I had (12).,other,others,otherwise,mother,another,E
The Skate Park,1,I took my board to the (1).,parks,parked,parking,parker,park,E
The Skate Park,2,I put on my knee (2).,pad,pads,padded,padding,paddle,B
The Skate Park,3,I dropped in on the big (3).,ramp,ramps,ramped,ramping,romp,A
The Skate Park,4,I went very (4).,fast,faster,fastest,fastness,fasts,A
The Skate Park,5,I tried to do a (5).,trick,tricks,tricked,tricking,tricky,A
The Skate Park,6,I jumped into the (6).,air,airy,aired,airing,heir,A
The Skate Park,7,I landed on the (7).,wheel,wheels,wheeled,wheeling,wheeler,B
The Skate Park,8,My friends were (8).,watch,watched,watches,watcher,watching,E
The Skate Park,9,One boy fell (9).,off,of,on,in,out,A
The Skate Park,10,He grazed his (10).,elbows,elbowed,elbowing,bow,elbow,E
The Skate Park,11,Skating takes lots of (11).,practise,practised,practising,practical,practice,E
The Skate Park,12,It is a cool (12).,sport,sports,sporting,sported,spore,A
The Haircut,1,My hair was getting too (1).,length,lengthen,longing,longer,long,E
The Haircut,2,Mum took me to the (2).,barber,barbers,barbered,barbering,barb,A
The Haircut,3,I sat in the swivel (3).,chair,chairs,chaired,chairing,chairman,A
The Haircut,4,He put a gown around my (4).,necks,necked,necking,necklace,neck,E
The Haircut,5,He washed my hair in the (5).,sinks,sinking,sank,sunk,sink,E
The Haircut,6,The water was warm and (6).,soap,soaped,soaping,soup,soapy,E
The Haircut,7,He used sharp (7).,scissor,scissored,scissoring,visor,scissors,E
The Haircut,8,Snip, snip went the (8).,blade,blades,bladed,blading,bales,B
The Haircut,9,Hair fell onto the (9).,floors,floored,flooring,flaw,floor,E
The Haircut,10,He showed me in the (10).,mirrors,mirrored,mirroring,minor,mirror,E
The Haircut,11,It looked much (11).,neat,neatest,neatly,neatness,neater,E
The Haircut,12,He gave me a (12).,lolly,lollies,loll,pop,lollipop,E
The Fishing Trip,1,We woke up before (1).,sunrises,sunrising,sunrose,son,sunrise,E
The Fishing Trip,2,We loaded the car with (2).,gear,gears,geared,gearing,gere,A
The Fishing Trip,3,We drove to the (3).,lakes,laked,laking,late,lake,E
The Fishing Trip,4,The water was calm and (4).,stilled,stilling,stills,steal,still,E
The Fishing Trip,5,We sat on the (5).,banks,banked,banking,bunk,bank,E
The Fishing Trip,6,Dad cast his (6).,lines,lined,lining,liner,line,E
The Fishing Trip,7,We waited for a (7).,bites,bit,bitten,biting,bite,E
The Fishing Trip,8,The float bobbed (8).,down,in,on,at,up,E
The Fishing Trip,9,Dad reeled it (9).,in,out,on,up,down,A
The Fishing Trip,10,It was a small (10).,trouts,trouting,troutlet,pout,trout,E
The Fishing Trip,11,We threw it back (11).,on,at,up,out,in,E
The Fishing Trip,12,Fishing requires (12).,patient,patiently,patients,patent,patience,E
The Old House,1,The house stood at the top of the (1) hill.,steeply,steep,steepen,steeps,steepness,B
The Old House,2,Its windows were broken and (2).,dirt,dirtily,dirty,dirtiness,dirtied,C
The Old House,3,We walked up the path (3).,cautious,caution,cautioned,cautiously,cautions,D
The Old House,4,The front door hung on one (4).,hinged,hinging,hinge,hinges,hinger,C
The Old House,5,Inside, it smelled of dust and (5).,damp,dampen,damped,damply,dampness,E
The Old House,6,Cobwebs hung from the (6).,ceilings,ceiled,ceilinged,ceil,ceiling,E
The Old House,7,Suddenly, we heard a loud (7).,creek,creaking,creak,creaked,creaky,C
The Old House,8,My heart began to (8).,raced,racing,races,racer,race,E
The Old House,9,"Is anyone (9)?" I called out.,hear,heard,hearing,hears,here,E
The Old House,10,There was no (10), only silence.,answer,answered,answering,answers,answerer,A
The Old House,11,We decided to (11) very quickly.,left,leaving,leave,leaves,leaver,C
The Old House,12,We didn't look (12) until we were home.,backed,backing,backs,backward,back,E
Seaside Holiday,1,The sun was (1) brightly in the sky.,shine,shone,shiny,shined,shining,E
Seaside Holiday,2,We ran across the hot, golden (2).,sands,sandy,sanded,sander,sand,E
Seaside Holiday,3,The sea water felt cool and (3).,refresh,refreshed,refreshes,refreshing,refreshment,D
Seaside Holiday,4,We spent hours building a sand (4).,castles,castle,castled,castling,castler,B
Seaside Holiday,5,Dad fell asleep on his deck (5).,chaired,chairing,chairs,chairman,chair,E
Seaside Holiday,6,Mum read her book under an (6).,umbrellas,umbrellaed,umber,umbra,umbrella,E
Seaside Holiday,7,Later, we ate fish and chips for (7).,dined,dining,dinners,diner,dinner,E
Seaside Holiday,8,A seagull tried to (8) a chip.,stole,stolen,stealing,steals,steal,E
Seaside Holiday,9,We watched the sun (9) over the ocean.,sat,setting,sets,satter,set,E
Seaside Holiday,10,The sky turned pink and (10).,oranges,oranged,orangey,orangery,orange,E
Seaside Holiday,11,It was the perfect (11) to the day.,ended,ending,ends,endless,end,E
Seaside Holiday,12,We were sad to (12) home.,went,gone,going,goes,go,E
The Math Test,1,I had studied (1) for the exam.,hardly,harden,hardness,harder,hard,E
The Math Test,2,I sat at my desk feeling (2).,nerve,nervously,nervousness,nerves,nervous,E
The Math Test,3,The teacher handed out the (3).,paper,papers,papered,papering,papery,B
The Math Test,4,The first question looked very (4).,ease,easily,easiness,eased,easy,E
The Math Test,5,However, the second was quite (5).,difficulty,diffidence,differ,different,difficult,E
The Math Test,6,I tried to remember my times (6).,table,tables,tabled,tabling,tablet,B
The Math Test,7,My pencil broke, so I had to (7) it.,sharp,sharper,sharpness,sharply,sharpen,E
The Math Test,8,The clock on the wall ticked (8).,loud,loudness,louder,loudest,loudly,E
The Math Test,9,Finally, I finished the last (9).,sum,some,summer,sums,summary,A
The Math Test,10,I let out a sigh of (10).,relieve,relieved,relieving,relieves,relief,E
The Math Test,11,I hoped I had done (11).,good,better,best,goodness,well,E
The Math Test,12,I handed my paper in with a (12).,smiled,smiling,smiles,smiley,smile,E
Locked Out,1,I searched my (1) for my keys.,pocket,pockets,pocketed,pocketing,pock,B
Locked Out,2,They were (2) to be found.,anywhere,somewhere,where,everywhere,nowhere,E
Locked Out,3,I must have (3) them at school.,leave,leaving,leaves,leaver,left,E
Locked Out,4,I tried the door, but it was (4).,lock,locking,locks,locker,locked,E
Locked Out,5,I peered through the kitchen (5).,windows,windowed,windowing,wind,window,E
Locked Out,6,I could see the keys on the (6).,tables,tabled,tabling,tablet,table,E
Locked Out,7,I felt extremely (7).,fool,fooled,fooling,foolishly,foolish,E
Locked Out,8,I decided to wait for Mum to (8).,returned,returning,returns,returner,return,E
Locked Out,9,It started to rain (9).,heavy,heaviness,heavier,heaviest,heavily,E
Locked Out,10,I huddled in the (10) porch.,shelter,sheltered,sheltering,shelters,shelf,B
Locked Out,11,When Mum arrived, she was (11).,surprise,surprising,surprises,surprisingly,surprised,E
Locked Out,12,Luckily, she had a (12) key.,spared,sparing,spares,sparer,spare,E
Planting a Garden,1,Spring is the best time to (1).,planted,planting,plants,planter,plant,E
Planting a Garden,2,I dug a hole in the rich (2).,soiled,soiling,soils,soily,soil,E
Planting a Garden,3,I placed the seeds carefully (3).,on,at,by,to,in,E
Planting a Garden,4,I covered them up with (4).,earthed,earthing,earths,earthy,earth,E
Planting a Garden,5,Every day, I gave them some (5).,watered,watering,waters,watery,water,E
Planting a Garden,6,Soon, small green shoots (6).,appear,appearing,appears,appearance,appeared,E
Planting a Garden,7,They grew taller in the (7).,sunny,sunned,sunning,suns,sun,E
Planting a Garden,8,I had to pull out the (8).,weed,weeded,weeding,weedy,weeds,E
Planting a Garden,9,Eventually, the flowers began to (9).,bloomed,blooming,blooms,bloomer,bloom,E
Planting a Garden,10,They looked absolutely (10).,beauty,beautifully,beautify,beauties,beautiful,E
Planting a Garden,11,Bees came to visit the (11).,blossom,blossoms,blossomed,blossoming,blossomer,B
Planting a Garden,12,Gardening is hard work but (12).,reward,rewarded,rewards,rewarder,rewarding,E
The Train Journey,1,We arrived at the station (1).,earlier,earliest,earliness,ear,early,E
The Train Journey,2,I bought a (2) from the machine.,ticketed,ticketing,tickets,ticketer,ticket,E
The Train Journey,3,We waited on the crowded (3).,plate,plated,platting,plat,platform,E
The Train Journey,4,The train arrived with a screech of (4).,brake,braking,braked,break,brakes,E
The Train Journey,5,We found two empty (5).,seat,seated,seating,seater,seats,E
The Train Journey,6,The train moved off (6).,smooth,smoothness,smoother,smoothed,smoothly,E
The Train Journey,7,I watched the scenery rush (7).,buy,bye,bi,bye-bye,by,E
The Train Journey,8,We went through a long, dark (8).,tunneled,tunneling,tunnels,tunneler,tunnel,E
The Train Journey,9,The conductor checked our (9).,pass,passed,passing,past,passes,E
The Train Journey,10,We ate sandwiches from a (10).,boxed,boxing,boxes,boxer,box,E
The Train Journey,11,The journey took three (11).,hour,hourly,hourglass,hour's,hours,E
The Train Journey,12,I was glad to finally (12).,arrived,arriving,arrives,arrival,arrive,E
Surprise Party,1,It was Mum's birthday (1).,tomorrow,yesterday,daily,day,today,E
Surprise Party,2,We wanted to give her a (2).,surprised,surprising,surprises,surprisingly,surprise,E
Surprise Party,3,We decorated the room with (3).,balloon,ballooned,ballooning,ball,balloons,E
Surprise Party,4,We hid behind the (4).,sofas,sofa's,sofar,sofus,sofa,E
Surprise Party,5,We heard her key in the (5).,locked,locking,locks,locker,lock,E
Surprise Party,6,She walked into the (6) room.,darkness,darken,darkly,darked,dark,E
Surprise Party,7,We jumped out and (7).,shout,shouting,shouts,shouter,shouted,E
Surprise Party,8,She was so shocked she nearly (8).,faint,fainting,faints,faintly,fainted,E
Surprise Party,9,We gave her lots of (9).,present,presented,presenting,presence,presents,E
Surprise Party,10,She blew out the candles on the (10).,caked,caking,cakes,caker,cake,E
Surprise Party,11,We played music and (11).,dance,dancing,dances,dancer,danced,E
Surprise Party,12,It was a wonderful (12).,celebrate,celebrated,celebrating,celebrates,celebration,E
A Day at the Zoo,1,The zoo was full of (1) animals.,exotically,exit,exist,exiting,exotic,E
A Day at the Zoo,2,We went to see the lions (2).,one,once,firstly,ones,first,E
A Day at the Zoo,3,The male lion had a huge (3).,main,maned,maning,manly,mane,E
A Day at the Zoo,4,He let out a terrifying (4).,roared,roaring,roars,roarer,roar,E
A Day at the Zoo,5,The monkeys were very (5).,play,played,playing,player,playful,E
A Day at the Zoo,6,They swung from the (6).,rope,roped,roping,roper,ropes,E
A Day at the Zoo,7,The giraffe had a very long (7).,necked,needing,necks,necklace,neck,E
A Day at the Zoo,8,We watched the penguins (8) fish.,ate,eaten,eating,eats,eat,E
A Day at the Zoo,9,They dived into the water (9).,grace,graceful,graced,gracing,gracefully,E
A Day at the Zoo,10,My feet began to (10).,ached,aching,aches,achy,ache,E
A Day at the Zoo,11,We bought a souvenir at the (11).,shopped,shopping,shops,shopper,shop,E
A Day at the Zoo,12,I slept (12) in the car home.,sound,sounding,sounds,sounded,soundly,E
Stuck Inside,1,The rain beat against the window (1).,pain,pained,painful,panes,pane,E
Stuck Inside,2,I was stuck inside and (2).,bore,boring,boredom,bores,bored,E
Stuck Inside,3,There was nothing on (3).,televise,televised,televising,vision,television,E
Stuck Inside,4,I decided to paint a (4).,pictures,pictured,picturing,picturesque,picture,E
Stuck Inside,5,I got out my box of (5).,paint,painted,painting,painter,paints,E
Stuck Inside,6,I dipped my brush in the (6).,watered,watering,waters,watery,water,E
Stuck Inside,7,I made a bit of a (7).,messed,messing,messes,messy,mess,E
Stuck Inside,8,Mum told me to clean it (8).,down,in,on,out,up,E
Stuck Inside,9,Then I read my favourite (9).,books,booked,booking,booker,book,E
Stuck Inside,10,The story was very (10).,excite,excited,excitement,excites,exciting,E
Stuck Inside,11,Soon, the rain began to (11).,stopped,stopping,stops,stopper,stop,E
Stuck Inside,12,The sun came out from behind a (12).,clouds,clouded,clouding,cloudy,cloud,E
The Talent Show,1,The school hall was (1) with people.,pack,packing,packs,packer,packed,E
The Talent Show,2,I was the third person to (2).,acted,acting,acts,actor,act,E
The Talent Show,3,My heart was beating like a (3).,drummed,drumming,drums,drummer,drum,E
The Talent Show,4,I walked onto the stage (4).,slow,slowness,slower,slowest,slowly,E
The Talent Show,5,The bright lights (5) me.,blind,blinding,blinds,blindly,blinded,E
