Question ref,Question,Option A,Option B,Option C,Option D,Option E,Correct,PassageFile
T10Q1,What keeps the planets in orbit around the Sun?,Magnetism,Wind,Gravity,Electricity,Magic,C,text_10.txt
T10Q2,How many recognised planets are there?,Seven,Eight,Nine,Ten,Twelve,B,text_10.txt
T10Q3,Which planet is the hottest?,Mercury,Venus,Mars,Jupiter,Earth,B,text_10.txt
T10Q4,"Why are the inner planets called ""terrestrial""?",They are hot.,They are near the sun.,They are made of rock and metal.,They have aliens.,They are small.,C,text_10.txt
T10Q5,Which planet has the Great Red Spot?,Saturn,Uranus,Neptune,Jupiter,Mars,D,text_10.txt
T10Q6,What are Saturn's rings made of?,Gas,Dust,Ice and rock chunks,Metal,Fire,C,text_10.txt
T10Q7,Why was Pluto reclassified?,It disappeared.,It exploded.,It was too small.,It moved away.,Scientists forgot about it.,C,text_10.txt
T10Q8,"What does ""terrestrial"" mean in this context?",Earth-like / Rocky,Alien,Gas-filled,Cold,Distant,A,text_10.txt
T10Q9,What is the Kuiper Belt filled with?,Stars,Black holes,Icy bodies and dwarf planets,Aliens,Gas,C,text_10.txt
T10Q10,"""Scientists decided it was too small."" Which word is the verb?",Scientists,Decided,It,Too,Small,B,text_10.txt
